City,Price,Beds,Baths,Sqft,Address,Link
Florida,"$509,000",0 beds,1 bath,442 sq ft,"398 NE 5th St #4105, Miami, FL 33132",N/A
Florida,"$655,000",3 beds,2 baths,"1,350 sq ft","11861 SW 92nd Ln, Miami, FL 33186",N/A
Florida,"$409,999",2 beds,2 baths,"1,254 sq ft","13247 SW 114th Ter, Miami, FL 33186",N/A
Florida,"$1,995,000",3 beds,3 baths,"1,932 sq ft","492 NE 55th St, Miami, FL 33137",N/A
Florida,"$330,000",2 beds,2 baths,944 sq ft,"8911 SW 123rd Ct Unit 106-4, Miami, FL 33186",N/A
Florida,"$799,999",4 beds,2 baths,"1,676 sq ft","6710 SW 33rd St, Miami, FL 33155",N/A
Florida,"$1,325,000",4 beds,2.5 baths,"2,058 sq ft","9339 SW 98th Pl, Miami, FL 33176",N/A
Florida,"$10,000,000",5 beds,5.5 baths,— sq ft,"7725 NE 8th Ave, Miami, FL 33138",N/A
Florida,N/A,N/A,N/A,N/A,N/A,N/A
Florida,"$465,000",3 beds,2 baths,"1,232 sq ft","1960 NW 50th St, Miami, FL 33142",N/A
Florida,"$260,000",2 beds,1 bath,801 sq ft,"677 SW 9th Ave #309, Miami, FL 33130",N/A
Florida,"$700,000",2 beds,2 baths,"1,096 sq ft","999 1st Ave #2707, Miami, FL 33130",N/A
Florida,"$5,990,000",6 beds,5 baths,"4,510 sq ft","3571 N Prospect Dr, Miami, FL 33133",N/A
Florida,"$580,000",3 beds,2.5 baths,"1,812 sq ft","973 SW 149th Ct, Miami, FL 33194",N/A
Florida,"$689,900",4 beds,3.5 baths,"2,667 sq ft","Undisclosed address, Miami, FL 33185",N/A
Florida,"$529,000",4 beds,2 baths,"1,280 sq ft","7000 NW 21st Ave, Miami, FL 33147",N/A
Florida,"$550,000",4 beds,3.5 baths,"1,710 sq ft","17473 SW 153rd Path, Miami, FL 33187",N/A
Florida,"$2,200,000",4 beds,4 baths,— sq ft,"398 NE 5th St Unit 3718-3719, Miami, FL 33132",N/A
Florida,"$535,000",1 bed,1 bath,846 sq ft,"335 S Biscayne Blvd #3110, Miami, FL 33131",N/A
Florida,"$610,000",2 beds,2.5 baths,"1,174 sq ft","601 NE 36th St #1103, Miami, FL 33137",N/A
